activity_id,user_id,show_id,watch_minutes,watch_hours
1,313,s7076,134,2.23
2,455,s6205,126,2.1
3,317,s2292,10,0.17
4,205,s2100,112,1.87
5,453,s7494,147,2.45
6,473,s776,223,3.72
7,465,s786,70,1.17
8,63,s4895,233,3.88
9,160,s6434,161,2.68
10,447,s690,183,3.05
11,45,s6340,112,1.87
12,42,s7678,147,2.45
13,491,s3915,13,0.22
14,222,s3548,159,2.65
15,433,s3899,222,3.7
16,482,s5272,47,0.78
17,382,s7699,49,0.82
18,361,s462,89,1.48
19,391,s2149,245,4.08
20,399,s548,265,4.42
21,272,s4825,192,3.2
22,54,s7368,225,3.75
23,190,s8491,230,3.83
24,403,s7813,32,0.53
25,362,s3104,254,4.23
26,270,s1919,231,3.85
27,202,s4914,247,4.12
28,5,s1575,80,1.33
29,373,s5076,206,3.43
30,260,s2074,50,0.83
31,110,s6837,186,3.1
32,185,s3012,101,1.68
33,153,s7294,262,4.37
34,485,s7017,12,0.2
35,99,s76,226,3.77
36,441,s2416,295,4.92
37,99,s6911,260,4.33
38,72,s1485,21,0.35
39,431,s2051,223,3.72
40,330,s6056,25,0.42
41,344,s7342,173,2.88
42,277,s741,35,0.58
43,394,s5112,35,0.58
44,490,s7055,66,1.1
45,220,s1160,195,3.25
46,90,s160,188,3.13
47,268,s1879,52,0.87
48,286,s1442,153,2.55
49,292,s2672,292,4.87
50,445,s1421,219,3.65
51,247,s5419,178,2.97
52,398,s6663,204,3.4
53,313,s6158,156,2.6
54,193,s8786,116,1.93
55,83,s2900,148,2.47
56,61,s1239,204,3.4
57,360,s2689,285,4.75
58,90,s2065,26,0.43
59,346,s2776,167,2.78
60,219,s491,66,1.1
61,229,s86,251,4.18
62,264,s6476,66,1.1
63,4,s3691,161,2.68
64,247,s1236,89,1.48
65,100,s6085,11,0.18
66,452,s7825,130,2.17
67,118,s4676,61,1.02
68,368,s4246,136,2.27
69,118,s5316,281,4.68
70,323,s6176,230,3.83
71,75,s3071,10,0.17
72,215,s7278,205,3.42
73,227,s8587,147,2.45
74,216,s299,67,1.12
75,317,s207,207,3.45
76,356,s3550,23,0.38
77,18,s5362,251,4.18
78,234,s3267,137,2.28
79,379,s582,239,3.98
80,303,s7451,260,4.33
81,278,s3738,116,1.93
82,171,s3619,77,1.28
83,23,s8091,46,0.77
84,227,s4456,99,1.65
85,391,s7959,16,0.27
86,286,s7124,180,3.0
87,29,s1096,67,1.12
88,348,s4073,221,3.68
89,55,s2305,94,1.57
90,155,s3500,29,0.48
91,250,s6374,220,3.67
92,351,s5168,65,1.08
93,145,s1973,243,4.05
94,202,s7909,168,2.8
95,211,s6844,143,2.38
96,386,s546,169,2.82
97,487,s1506,196,3.27
98,346,s2345,143,2.38
99,162,s8710,85,1.42
100,403,s6748,34,0.57
101,417,s2211,63,1.05
102,450,s4921,61,1.02
103,198,s2682,283,4.72
104,56,s1347,90,1.5
105,427,s6037,70,1.17
106,72,s1386,171,2.85
107,395,s5759,35,0.58
108,182,s8078,71,1.18
109,53,s2383,239,3.98
110,37,s5565,219,3.65
111,14,s4693,183,3.05
112,421,s2736,186,3.1
113,145,s6464,149,2.48
114,316,s5524,172,2.87
115,19,s3345,41,0.68
116,68,s7693,34,0.57
117,456,s4658,201,3.35
118,393,s5847,92,1.53
119,418,s5022,170,2.83
120,18,s7309,196,3.27
121,295,s878,95,1.58
122,337,s3184,227,3.78
123,363,s3914,261,4.35
124,336,s5696,69,1.15
125,332,s3611,234,3.9
126,93,s3755,78,1.3
127,64,s5202,197,3.28
128,69,s2596,79,1.32
129,297,s3788,25,0.42
130,220,s7535,176,2.93
131,67,s2187,59,0.98
132,182,s5163,92,1.53
133,475,s1706,244,4.07
134,239,s674,92,1.53
135,169,s8027,298,4.97
136,222,s6831,52,0.87
137,122,s777,75,1.25
138,71,s5089,17,0.28
139,230,s3316,158,2.63
140,111,s203,26,0.43
141,121,s4730,35,0.58
142,483,s1707,35,0.58
143,194,s4322,78,1.3
144,13,s3735,167,2.78
145,446,s516,187,3.12
